label,aoi,std_aoi,total_latency,std_total_latency,number_of_requests_to_provider,hit_rate
baseline,1799451.221,1037933.127,1387.339882,5565.644011,179246,0
classical,1799464.653,1037968.527,1197.263181,4907.170317,155474,0.1326222064
hit-rate-20,1799459.012,1037969.828,439.9036237,3225.294494,68498,0.6939401716
hit-rate-40,1799487.35,1037951.384,245.0160144,2299.060879,49097,0.8355277105
hit-rate-60,1799483.932,1037927.616,138.5210932,1676.902584,39032,0.9128460328
classical-N1,1799372.597,1038039.123,1209.878798,5081.39418,153479,0.1437521618
classical-N2,1799451.945,1037954.968,1188.281242,4713.980642,152634,0.1484663535
hit-rate-20-N1,1442187.13,1174278.332,274.0112336,2137.882788,46950,0.8141548486
hit-rate-40-N1,1632849.165,1118717.73,143.2000936,1696.541073,35831,0.9095377303
hit-rate-20-N2,1799518,1037972.649,202.807529,1904.760182,37124,0.8689733662
hit-rate-40-N2,1700752.091,1089641.042,100.8639017,1808.244539,29475,0.9449973779
hit-rate-20-classical,1283968.04,1199102.94,380.8840334,2680.744387,61969,0.7302658692
