label,aoi_mean,aoi_calculate_margin_error,total_latency_mean,total_latency_calculate_margin_error,number_of_requests_to_provider_mean,number_of_requests_to_provider_calculate_margin_error,hit_rate_mean,hit_rate_calculate_margin_error,edge_number
fl_10,364.96520217269637,200.36420154200277,1260.982376053952,77.95382419194729,1026.68,222.27569187578047,0.8538882074524667,0.004237691436406398,12
fl_10,273.7346417744327,135.28415882719514,1356.946394042446,81.15110827851485,4295.04,359.7654913120031,0.7318230654067561,0.0025741078785062647,3
fl_10,228.6231712270218,64.80501638975103,1160.3408648595478,41.92060680242991,2021.62,243.62653418753888,0.8581610694067956,0.0022524890256121503,6
fl_10,264.15491229555477,99.98947199664609,1274.937815486986,63.13824680616881,1443.8,207.3058730488306,0.8087427077085044,0.004002330917551921,9
fl_5,240.50259285345135,94.71161794119814,1396.923867572953,74.80936160948221,864.94,150.7677711818245,0.7101902111663919,0.006173833082585951,12
fl_5,309.4923937472943,130.71487394542277,1296.1631735839474,75.12533290003373,4942.56,725.6929999166762,0.7700669841066157,0.0022428140091516947,3
fl_5,215.06341887620928,51.70670535561836,1196.2324795321633,33.7915413198018,2024.52,254.3156503739002,0.8231506474475186,0.0027349463651344533,6
fl_5,305.44241076303706,159.3720284220384,1296.2213033344005,78.66427432926231,1404.66,337.6053378015056,0.804755553410525,0.004582069370127799,9
centralize,237.72402558754877,87.483753456083,1070.1112731562866,28.83542510532122,14280.222222222223,1051.1300841538553,0.8675481952158902,0.0019645337572220646,3
centralize,237.72402558754877,87.483753456083,1070.1112731562866,28.83542510532122,14280.222222222223,1051.1300841538553,0.8675481952158902,0.0019645337572220646,6
centralize,237.72402558754877,87.483753456083,1070.1112731562866,28.83542510532122,14280.222222222223,1051.1300841538553,0.8675481952158902,0.0019645337572220646,9
centralize,237.72402558754877,87.483753456083,1070.1112731562866,28.83542510532122,14280.222222222223,1051.1300841538553,0.8675481952158902,0.0019645337572220646,12
local,239.31868428870223,104.45748630563239,1708.790338402928,126.38826911091779,1048.12,476.5247667904535,0.47066075974108373,0.005606140659247542,12
local,271.82728020013815,131.8251178582789,1806.7962839837314,179.105550553008,5248.56,2616.9903024920222,0.3957897987651133,0.003169931566770575,3
local,222.98862155926108,99.28594119696776,1858.8645354141636,156.11710730740202,2031.1,224.44364884170335,0.31643982518244834,0.003801445210121407,6
local,233.91433274582218,99.89227767166157,1940.0221805851677,174.45439925781952,1328.0,188.31027322182197,0.30561665792220577,0.00591852542078316,9
