user_id,subarea_1,subarea_2,subarea_3,subarea_4
0,56,8,7,2
1,0,4,57,6
2,44,0,21,0
3,1,2,57,5
4,1,29,48,17
5,51,35,3,14
6,37,40,11,26
7,1,6,55,12
8,51,6,13,0
9,52,17,9,0
10,28,25,26,8
11,21,28,29,30
12,65,2,2,2
13,0,22,43,80
14,21,31,31,0
15,1,41,41,46
16,6,9,52,0
17,47,56,1,3
18,10,0,51,0
19,1,60,37,31
20,2,8,54,7
21,2,0,49,72
22,10,2,49,0
23,1,0,46,115
24,20,59,22,20
25,0,30,40,92
26,9,0,50,1
27,13,27,39,11
28,25,39,26,1
29,25,122,0,0
30,0,26,50,16
31,12,25,39,12
32,11,28,41,0
33,27,7,34,0
34,0,191,0,6
35,34,2,28,2
36,60,0,6,10
37,62,4,0,29
38,58,27,0,0
39,45,38,6,25
40,66,3,0,0
41,57,21,3,1
42,0,51,41,24
43,52,1,5,80
44,38,0,26,0
45,0,83,22,114
46,44,13,13,31
47,30,25,26,0
48,60,2,6,0
49,24,24,28,31
50,31,13,26,25
51,57,31,0,0
52,40,45,0,89
53,24,30,29,0
54,1,1,45,113
55,11,41,33,40
56,14,23,23,152
57,20,19,34,25
58,60,21,0,0
59,47,28,10,0
60,5,42,37,45
61,1,1,49,76
62,1,39,38,86
63,1,12,53,14
64,30,62,2,116
65,21,18,35,1
66,55,1,9,12
67,45,46,1,47
68,1,0,48,100
69,39,37,7,66
70,1,0,57,9
71,53,29,1,21
72,59,19,0,17
73,5,30,46,4
74,0,2,55,25
75,0,34,46,31
76,42,2,21,9
77,0,1,51,70
78,5,16,49,1
79,27,24,24,39
80,0,127,2,178
81,1,8,53,23
82,33,44,14,21
83,34,40,14,31
84,0,2,51,63
85,25,0,38,0
86,63,8,1,1
87,50,9,0,114
88,49,47,1,9
89,26,28,28,0
90,2,0,53,37
91,54,7,10,1
92,0,0,54,54
93,25,92,1,80
94,3,42,41,25
95,40,41,11,1
96,12,0,49,2
97,52,47,0,0
98,0,1,54,45
99,4,10,51,15
