user_id,subarea_1,subarea_2,subarea_3,subarea_4,most_common_subarea
0,68,68,335,3,3
1,58,1,135,60,3
2,65,0,48,64,1
3,1,107,259,64,3
4,48,21,263,47,3
5,105,53,93,0,1
6,28,9,10,102,4
7,1,44,306,80,3
8,122,36,0,0,1
9,81,2,106,40,3
10,20,68,348,49,3
11,49,2,289,49,3
12,67,0,5,67,1
13,0,103,164,79,3
14,83,2,421,0,3
15,42,111,3,54,2
16,57,18,584,0,3
17,77,128,1,13,2
18,60,33,22,60,1
19,96,27,35,26,1
20,14,2,467,62,3
21,56,1,205,54,3
22,60,38,9,60,1
23,81,1,46,48,1
24,40,122,87,41,2
25,0,23,119,111,3
26,60,0,111,62,3
27,73,27,28,50,1
28,72,87,128,17,3
29,99,105,0,0,2
30,0,0,275,100,3
31,0,115,222,67,3
32,5,91,217,71,3
33,77,32,122,32,3
34,0,217,0,59,2
35,2,2,318,92,3
36,66,3,18,66,1
37,63,0,67,64,3
38,58,52,0,58,1
39,52,96,0,50,2
40,133,5,0,0,1
41,60,0,114,60,3
42,0,24,172,104,3
43,112,56,7,2,1
44,65,0,576,0,3
45,0,88,24,100,4
46,55,16,16,72,4
47,80,0,156,35,3
48,73,37,191,26,3
49,52,0,263,51,3
50,60,11,57,63,4
51,58,58,2,56,1
52,73,85,0,32,2
53,82,151,0,0,2
54,93,1,61,34,1
55,85,0,56,43,1
56,60,13,69,62,3
57,43,31,50,75,4
58,62,39,0,60,1
59,96,111,3,0,2
60,84,28,0,41,1
61,51,1,133,67,3
62,35,54,42,75,4
63,54,0,216,54,3
64,23,47,2,94,4
65,103,58,94,1,1
66,56,2,74,69,3
67,46,0,75,79,4
68,88,19,91,30,3
69,84,16,0,46,1
70,60,0,148,57,3
71,55,73,2,55,2
72,69,9,100,50,3
73,34,45,284,50,3
74,37,56,14,76,4
75,0,0,413,83,3
76,84,1,409,0,3
77,46,5,242,57,3
78,24,115,118,56,3
79,50,80,160,38,3
80,0,15,1,128,4
81,54,3,215,53,3
82,72,2,117,47,3
83,48,107,1,49,2
84,0,54,88,105,4
85,124,0,90,0,1
86,100,59,111,2,3
87,60,65,0,53,2
88,51,96,1,50,2
89,108,76,0,0,1
90,56,0,200,53,3
91,72,21,52,49,1
92,53,79,1,54,2
93,15,179,2,57,2
94,87,15,0,43,1
95,53,52,98,51,3
96,18,42,324,61,3
97,64,120,0,29,2
98,0,53,267,83,3
99,3,1,111,118,4
