N_EDGE,ROUNDS,Average of diff,Standard Deviation of diff,Average Percentage of hit rate,expert_time_value,proactive diff
3,1,282.5304141311762,297.77159110591646,39.412896168625174,100,50.0
6,1,312.68723857137894,294.16295157695174,31.79195091603381,100,50.0
9,1,339.113445357667,296.7823908514404,30.68050419463239,100,50.0
12,1,293.25792089184205,347.4407394751094,46.88628572476122,100,50.0
3,5,56.55759425387398,47.43654409245452,76.86104619938205,100,50.0
6,5,49.370336286041486,38.300306055062386,82.287133024603,100,50.0
9,5,47.30374889141051,41.782391272821904,80.60080780506377,100,50.0
12,5,31.61314807016352,47.12000727398716,71.08020665040105,100,50.0
3,10,58.5645110486338,56.750848444103376,73.03481838357028,100,50.0
6,10,48.72502735166343,34.61976687353428,85.79682966896719,100,50.0
9,10,50.302387529980116,42.2515705070412,80.77065165163435,100,50.0
12,10,42.86387729681122,36.71706031326519,85.0541811046506,100,50.0
-1,-1,46.010208108579924,33.99526857179099,86.75853804673457,100,50.0
